Version,Timestamp,Score,MaxTile,TimeSpent,TurnsPerSecond,TurnsTotal,Down %,Right %,Up %,Left %,Garden,Note
0.1.6,16May2014 20:14:34,16484,1024,06:38,2.46,978,0.1,27.5,47.0,25.4,[1024 512 256 64 - 16 64 128 32 - 8 32 16 8 - 2 8 4 2],tim's build
0.1.6,16May2014 20:23:59,28212,2048,09:24,2.66,1500,0.1,26.2,46.0,27.7,[2 256 512 2048 - 128 64 128 64 - 8 32 16 4 - 2 4 8 2],tim's build
0.1.6,16May2014 20:32:50,25416,2048,08:50,2.47,1308,0.2,26.5,49.3,23.9,[32 2 64 2048 - 16 64 512 64 - 8 32 16 8 - 2 4 8 2],tim's build
0.1.6,16May2014 20:37:31,9168,512,04:39,2.25,627,0.2,24.7,47.0,28.1,[256 512 256 4 - 32 64 128 64 - 8 32 16 4 - 2 4 8 2],tim's build
0.1.6,16May2014 20:44:19,16384,1024,06:47,2.39,972,0.1,25.5,47.2,27.2,[1024 512 256 2 - 16 64 128 64 - 8 32 16 4 - 4 2 4 2],tim's build
0.1.6,16May2014 20:47:39,7448,512,03:20,2.6,519,0.2,23.9,46.1,29.9,[64 512 2 32 - 2 32 128 256 - 8 64 16 2 - 2 4 2 4],tim's build
0.1.6,16May2014 20:52:56,13424,1024,05:16,2.6,821,0.1,26.7,45.4,27.8,[64 128 256 64 - 16 64 1024 128 - 8 32 16 8 - 2 4 8 4],tim's build
0.1.6,16May2014 20:58:59,16200,1024,06:02,2.7,976,0.0,25.4,45.4,29.2,[128 1024 512 128 - 32 64 128 64 - 8 32 16 4 - 2 4 8 2],tim's build
0.1.6,16May2014 21:06:41,23592,2048,07:41,2.65,1221,0.1,25.9,47.9,26.1,[2048 256 2 64 - 8 32 128 32 - 4 16 64 16 - 2 4 8 4],tim's build
0.1.6,16May2014 21:12:13,13280,1024,05:31,2.47,817,0.1,27.4,46.3,26.2,[128 256 64 1024 - 16 64 128 32 - 8 16 32 8 - 2 4 8 4],tim's build
0.1.6,16May2014 21:20:31,18240,1024,08:17,2.22,1103,0.0,23.9,46.0,30.1,[256 1024 512 4 - 32 128 256 64 - 64 32 16 4 - 2 4 8 2],tim's build
0.1.6,16May2014 21:22:44,3772,256,02:11,2.4,315,0.3,25.1,47.9,26.7,[64 256 2 64 - 16 32 128 32 - 4 16 64 2 - 2 8 2 4],tim's build
0.1.6,16May2014 21:26:00,7180,512,03:15,2.54,496,0.4,22.8,47.6,29.2,[2 256 32 2 - 512 64 128 16 - 8 32 16 2 - 2 4 2 4],tim's build
0.1.6,16May2014 21:36:12,27444,2048,10:12,2.34,1432,0.1,25.3,49.1,25.6,[64 256 512 2 - 16 64 128 2048 - 8 32 16 4 - 2 4 8 2],tim's build
